Item No,Component,Failure Mode,Effect of Failure,Severity (1-5),Cause,Occurrence (1-5),Current Controls,Detection (1-5),RPN,Action,Residual RPN
1,Rotor,Rotor fracture at max speed,Rotor fragments inside bowl; risk of injury,5,Material fatigue; corrosion; unauthorized use above rated speed,1,RFID speed limit enforcement; annual rotor inspection requirement,1,5,Annual rotor inspection by certified tech mandatory in IFU,5
2,Lid Interlock,Interlock failure – lid opens during spin,Operator exposure to rotating rotor,5,Electronic interlock failure; mechanical latch wear,1,Dual electronic + mechanical interlock; daily interlock test,1,5,Redundant interlock design; self-test at each power-on,5
3,Imbalance,Severe imbalance not detected,Vibration damage; rotor failure,4,Sensor failure,1,Vibration sensor + shutdown logic,1,4,Redundant vibration sensor channels,4
4,Refrigerant,HFO refrigerant leak,Environmental release; instrument failure,2,Seal degradation; mechanical damage,2,Hermetically sealed refrigerant circuit; annual PM,2,8,Leak detection added to annual PM protocol,4
5,Motor,Brushless DC motor bearing failure,Loss of speed control; vibration,3,Contamination; excessive run hours,2,Maintenance-free design; 10-year rated bearing,2,12,PM includes motor current monitoring; alert on anomaly,6
6,Temperature Sensor,Sensor drift,Incorrect temperature set point; sample degradation,3,Sensor aging; calibration drift,2,Annual temperature calibration required,2,12,Add auto temperature verification at run start,6
7,RFID Reader,RFID read failure,Rotor type not identified; wrong speed limit,4,RFID chip damaged; reader failure,1,Fail-safe: if no RFID read, use conservative default speed limit,1,4,Conservative default speed cap (6000 RPM) if RFID unreadable,4
8,Power Supply,Mains power interruption during run,Abrupt stop; potential sample loss,2,External power failure,3,Capacitor hold-up for controlled deceleration,2,12,Verify 500ms hold-up capacitor in design verification,6
9,Drain Port,Incomplete decontamination of bowl,Biohazard cross-contamination,4,Operator skips decontamination step,3,Decontamination instructions in IFU; annual training recommended,2,24,Add biohazard warning label on bowl drain port,12
10,Packaging,Instrument damaged in transit,Instrument arrives non-functional,2,Drop; vibration during shipping,2,ISTA 2A validated packaging,2,8,Shock indicator included in each shipment,4
