Item No,Component / Process,Failure Mode,Effect,Severity (1-5),Cause,Occurrence (1-5),Controls,Detection (1-5),RPN,Action,Residual RPN
1,Primer/Probe Mix,Primer degradation during storage,False negative results,5,Improper storage above -15°C,2,Temperature indicator on packaging + IFU warning,2,20,Add dual cold-chain indicator; IFU: reject if indicator triggered,10
2,Extraction Step,RNA degradation in specimen,False negative,5,Delayed processing; improper swab transport medium,3,IFU: process within 72hrs; use approved VTM,2,30,Add pre-extraction QC hold time limit to protocol,15
3,Internal Control,MS2 IC not detected,Invalid result reported; no flag,5,PCR inhibitor in specimen; IC reagent failure,2,IC channel monitored each run; invalid flag,1,10,Mandatory IC check before result release; auto-invalidation,5
4,Master Mix,Cross-contamination between wells,False positive result,4,Aerosol during setup; poor lab technique,2,BSC required; dedicated equipment; UNG carryover control,2,16,Add UNG + dUTP to master mix to reduce carryover,8
5,Positive Control,Positive control contamination,Environmental contamination; false positives in lab,4,PC escape from tube during opening,2,Synthetic RNA PC (not infectious); sealed strip cap,2,16,Pre-aliquoted single-use PC strips,8
6,Thermal Cycler,Temperature ramp error,Wrong Ct values; failed run,4,Instrument out of calibration; block failure,2,Daily calibration check required per IFU,2,16,Annual thermal cycler calibration mandatory,8
7,Foil Seal,Incomplete seal on reaction plate,Evaporation; failed amplification,3,Incorrect sealing temperature or pressure,2,Visual QC check of seal integrity before cycling,2,12,Add post-seal press QC step to SOP,6
8,Reagent Mixing,Incorrect reagent volume pipetted,Wrong ratio; assay failure,4,Pipette miscalibration; operator error,3,IFU: calibrated pipettes required; centrifuge plate,2,24,Add visual volume check guide to IFU; consider pre-loaded strips,12
9,IFU Translation,Incorrect translated warning (e.g. formamide hazard),Operator unaware of reproductive toxicant risk,5,Translation error,1,Certified translation + back-translation review,1,5,Mandatory toxicologist review of SDS-linked warnings,5
10,Cold Chain Shipping,Temperature excursion during transit,Reagent degradation; unreliable results,4,Shipper delay; customs hold,2,Validated cold-chain packaging (72hr -20°C),2,16,Dual-indicator pack; QC test lot on arrival protocol,8
