Item No,Component,Failure Mode,Effect,Severity (1-5),Cause,Occurrence (1-5),Controls,Detection (1-5),RPN,Action,Residual RPN
1,Test Strip,Strip inserted incorrectly (upside down),No sample wicking; error code E-02,2,User error,4,Physical keying prevents full insertion wrong-way; error code displayed,1,8,Add tactile ridge and pictogram on strip packaging,4
2,Test Strip,Expired strip used,Inaccurate result,5,User ignores expiry or strip packaging damaged,3,Strip chip expiry check at insertion; E-09 error if expired,2,30,Mandatory expiry lock enforced in firmware,10
3,Lancing Device,Inadequate blood sample,Low volume error; E-03,2,Incorrect lancing depth; first-drop used,3,Error code + auditory alert; IFU instructs discard first drop,2,12,Animated tutorial on meter display for new users,6
4,Meter Display,Display failure / blank screen,User cannot read result,3,Battery dead; LCD damage,2,Low battery alert at 10 remaining strips; battery symbol,2,12,Auto power-off to extend battery; spare battery reminder in IFU,6
5,Bluetooth Module,Bluetooth data sync failure,Result not transferred to app/EMR,1,Pairing error; OS incompatibility,3,Manual USB download always available,1,3,USB as mandatory fallback; Bluetooth optional,3
6,Enzyme (FAD-GDH),Enzyme denaturation (high temp strip storage),False low reading,5,Strip stored > 30°C for extended period,2,Strip vial – dessicant included; expiry check at insertion; storage warning on label,2,20,Temperature stability data extended to 40°C short-term; IFU warning,10
7,Haematocrit Correction,HCT outside validated range (< 20% or > 65%),Biased result; no flag,4,Severe anaemia; polycythaemia,2,HCT alert flag in software for extreme ranges (E-06),2,16,E-06 code + IFU instruction to contact HCP,8
8,IFU – Arabic Version,Incorrect dosage or procedure instruction,Patient misuse; incorrect result,5,Translation error in patient instructions,1,Certified translation + back-translation + SFDA review,1,5,Mandatory toxicologist and clinical review of Arabic patient instructions,5
9,Memory,Memory corruption,Loss of historical glucose readings,2,Power failure during write; firmware bug,2,Checksum verification on each write; redundant storage,1,4,Wear-levelling + checksums in firmware,2
10,Strip Vial Cap,Loose vial cap,Moisture ingress; strip degradation,4,Manufacture defect; user leaves cap off,3,Torque test on vial cap in QC; IFU: replace cap immediately after use,2,24,Add audible click confirmation to cap design; IFU warning,12
